people,starttime,comments,pageviews,negative,neutral,official,hot,new,reply,type
坚挺的巫妖,20161010,0,44,0,1,0,0,0,0,raiders
执政官,20161010,18,780,0,1,1,1,0,1,announcement
坚挺的巫妖,20161010,0,46,0,1,0,0,1,0,none
我是龙骑士,20161010,4,306,0,1,1,0,1,0,raiders
叫我奥库瑞姆,20161010,0,118,0,1,1,1,1,0,raiders
390779887,20161010,1,65,0,0,1,0,1,1,communication
冬追夏赶,20161010,1,34,0,1,1,0,1,1,advice
大圣娶亲,20161010,2,59,0,1,1,0,0,1,communication
凉小yu9527,20161010,1,45,0,1,1,0,1,0,raiders
老戴111111,20161010,6,110,1,0,0,0,0,1,help
水哥9458,20161010,1,53,0,1,1,0,0,0,communication
水哥9458,20161010,0,35,0,1,1,0,1,0,help
李淳风,20161010,1,133,0,1,1,1,0,0,communication
浪子浪,20161010,0,33,0,1,1,1,1,0,raiders
王个哈的哀伤,20161010,1,50,0,1,1,1,1,1,raiders
13861552371,20161010,1,34,0,1,1,0,1,1,communication
天嶙,20161010,3,107,0,1,1,1,1,1,raiders
东东东,20161010,0,58,0,1,1,1,0,0,raiders
小小天地,20161009,0,2,0,1,0,0,1,0,raiders
清风洗我狂,20161009,0,53,0,1,0,0,0,0,raiders
清风洗我狂,20161009,2,12,0,1,0,0,0,1,raiders
清风洗我狂,20161009,2,16,0,1,0,0,1,1,raiders
可怜人,20161009,1,6,0,1,0,0,1,1,raiders
放线的风筝,20161009,1,9,0,1,0,0,0,1,raiders
胸太小不要说话,20161009,1,7,0,1,0,0,0,1,raiders
5215654,20161009,1,14,0,1,0,0,1,0,raiders
胸太小不要说话,20161009,0,2,0,1,0,0,1,1,raiders
王权富贵w,20161009,1,17,0,1,0,0,1,1,raiders
轩海霖,20161009,1,9,0,1,0,0,0,1,raiders
放线的风筝,20161009,1,7,0,1,0,0,1,0,raiders
地狱魔神KING,20161009,0,19,0,1,0,0,0,1,raiders
轩海霖,20161009,0,8,0,1,0,0,1,1,raiders
neitheraaa,20161009,1,14,0,1,0,0,0,1,raiders
qqqqq2580,20161009,1,6,0,1,0,0,0,1,raiders
qqqqq2580,20161009,1,12,0,1,0,0,0,1,raiders
漫步哈哈路,20161009,1,24,0,1,0,0,1,0,raiders
ybw,20161009,0,9,0,1,0,0,1,1,raiders
酱油_田,20161009,2,14,0,1,0,0,1,1,raiders
阮经天,20161009,1,28,0,1,0,0,1,1,raiders
巫里奥,20161009,2,36,0,1,0,0,0,0,raiders
V等待V,20161009,1,13,0,1,0,0,1,0,raiders
进击的激进,20161009,1,6,0,1,0,0,1,0,raiders
我不是大腿,20161009,2,20,0,1,0,0,1,0,raiders
梅管声,20161009,1,9,0,1,0,0,1,0,communication
茉莉鸭弟,20161009,1,12,0,1,0,0,1,0,help
游477,20161009,0,5,0,1,0,0,0,0,activity
游477,20161009,1,14,0,1,0,0,1,1,raiders
高富帅必备,20161009,1,20,0,1,0,0,0,1,communication
金鱼不会飞,20161009,1,6,0,0,0,0,1,1,communication
高富帅必备,20161009,1,9,0,1,0,0,1,1,advice
也就一般,20161009,1,14,0,1,0,0,1,1,raiders
星光低语者,20161009,0,6,0,1,0,0,1,0,communication
绝对计划j,20161009,0,15,0,1,0,0,1,0,activity
我叫张自贡,20161009,0,22,0,1,0,0,1,0,raiders
大圣娶亲,20161009,8,69,0,1,0,0,0,1,communication
zhuming,20161009,1,19,0,1,0,0,0,1,raiders
永猎双子千珏,20161009,1,129,0,1,0,0,1,0,raiders
骚猪小皮皮,20161009,1,22,0,1,0,0,1,1,raiders
coliphair,20161009,2,30,0,1,0,0,1,1,communication
cmz,20161009,1,8,0,0,0,0,1,1,raiders
猫对鱼儿说,20161009,1,15,0,1,0,0,1,1,raiders
花败莫相离丶,20161009,2,19,0,1,0,0,1,1,activity
红日哈哈哈,20161009,1,20,0,1,0,0,1,1,raiders
Alics,20161009,0,11,0,1,0,0,1,0,raiders
无敌到爆炸,20161009,3,21,0,1,0,0,0,1,raiders
天天天气晴,20161009,2,31,0,1,0,0,1,1,raiders
疯狂小波比,20161009,1,11,0,1,0,0,1,1,raiders
wxzz13486639495,20161009,2,14,0,1,0,0,1,1,raiders
嘻嘻哈哈2,20161009,1,11,0,1,0,0,0,1,raiders
ArthurKing,20161009,1,5,0,1,0,0,1,1,raiders
Weill,20161009,1,12,0,1,0,0,1,1,raiders
123wuxiankongbu,20161009,2,29,0,1,0,0,1,1,raiders
无限小霸王,20161009,1,73,0,1,0,0,0,0,raiders
阮经天,20161009,2,42,0,1,0,0,0,1,raiders
一品脱伏特加,20161009,2,57,0,1,0,0,1,1,raiders
喝醉的吉他,20161009,1,22,0,1,0,0,1,1,raiders
各自的朝圣,20161009,1,27,0,1,0,0,1,1,communication
满地阳光1123,20161009,0,38,0,1,0,0,1,0,raiders
狂战水牛,20161009,1,20,0,1,0,0,1,1,raiders
空白式丶刹,20161008,1,25,0,1,0,0,0,0,communication
zzy921124,20161007,0,38,0,1,0,0,0,0,raiders
咕噜咕噜魔法师,20161007,0,163,0,1,0,0,1,0,raiders
大圣娶亲,20161007,1,33,0,1,0,0,1,0,communication
犹豫的星期天,20161007,0,121,0,1,0,0,0,0,raiders
Vayne-Lover,20161006,5,2515,0,1,0,1,0,1,raiders
魔x剑,20161006,1,91,0,1,0,0,0,0,none
Chan格斗,20161006,3,20,1,0,0,0,1,0,help
采蘑菇的小女孩,20161006,0,74,0,1,1,1,0,1,announcement
丝絮在飞舞,20161006,0,65,0,1,0,0,1,0,raiders
输入要写的名字,20161005,8,149,0,1,0,0,1,1,raiders
zhuyaao,20161005,3,51,0,1,0,0,1,1,communication
冰魔残雪,20161005,5,43,0,1,0,0,0,1,communication
幻雪年华,20161005,4,15,1,0,0,0,1,1,help
" 
漂流的疾风",20161004,8,50,0,1,1,1,0,1,announcement
寒凌如霜,20161004,1,136,0,1,0,0,1,0,raiders
你妹啊213,20161004,3,64,1,0,0,0,0,1,help
吾忘,20161004,1,22,0,1,0,0,0,1,help
" 
巫里奥",20161003,4,379,0,1,1,1,0,1,raiders
Vayne-Lover,20161003,9,2761,0,1,0,1,1,1,raiders
阮经天,20161003,4,117,0,1,0,1,0,1,raiders
蓬莱小面,20161003,2,18,1,0,0,0,1,1,communication
3号#5778,20161003,4,112,0,1,0,1,0,1,raiders
熊胖子,20161003,1,59,0,1,0,1,1,1,raiders
漂流的疾风,20161003,0,5,0,1,1,1,0,0,advice
二区魔剑墨菲斯,20161002,4,204,0,1,0,0,0,1,advice
冰魔残雪,20161002,7,86,0,1,0,0,0,1,communication
萨玛斯特,20161002,1,199,0,1,0,1,1,0,raiders
土豪乌迪,20161002,2,104,0,1,0,0,1,0,communication
大海和,20161002,0,193,0,1,0,0,1,0,none
0.6,20161002,2,184,0,1,0,0,1,0,raiders
无限战神,20161002,0,35,0,1,0,0,1,0,raiders
叶wf,20161002,1,51,0,1,0,0,1,0,raiders
巫里奥,20161002,2,124,0,1,1,0,0,1,raiders
与子成说灬,20161002,0,214,0,1,0,0,1,0,raiders
无字233,20161002,1,129,0,1,0,0,0,0,raiders
" 
漂流的疾风",20161001,58,300,0,1,1,1,0,1,announcement
妍鱼,20161001,10,153,0,1,1,1,0,1,activity
冰魔残雪,20161001,8,183,0,1,0,1,1,1,none
丨炎凉丶,20161001,2,281,0,1,0,0,1,0,none
阮经天,20161001,5,179,0,1,0,1,0,1,raiders
三号#5778,20161001,4,2274,0,1,0,1,1,0,raiders
再见我的爱人,20161001,0,325,0,1,0,0,1,0,raiders
切灬年轻,20161001,6,1749,0,1,0,1,1,1,raiders
疯狂饼干,20161001,9,157,0,1,0,0,1,1,advice
将军饶命,20161001,2,176,0,1,0,1,1,0,raiders
我的钻石呢,20161001,0,66,1,0,0,0,1,0,help
伪生活,20161001,4,81,0,1,0,0,1,0,raiders
阮经天,20161001,1,258,0,1,0,0,0,0,raiders
张四爷,20161001,0,63,0,1,0,0,1,0,raiders
二区魔剑墨菲斯,20161001,0,189,0,1,0,0,1,0,raiders
赵少飞,20161001,1,35,0,0,0,0,1,0,communication
无限小霸王,20161001,0,37,1,0,0,0,0,0,communication
pljlanay,20161001,0,102,0,1,0,1,1,0,raiders
Xlmh,20161001,0,51,0,1,0,1,1,0,raiders
吖浠2,20161001,1,52,0,1,0,1,1,0,raiders
猫奴,20161001,1,956,0,1,1,0,0,1,none
XSHACK798,20161001,4,161,0,1,0,0,1,0,none
喝酒的霸王,20161001,0,463,0,1,0,1,1,0,raiders
偈宜,20161001,0,178,0,1,0,0,0,0,raiders
慕容紫枫,20161001,0,46,0,1,0,0,1,0,raiders
摩登大圣,20161001,0,92,0,1,0,1,1,0,raiders
秦天禄,20161001,0,91,0,1,0,1,0,0,raiders
秦天禄,20161001,0,24,0,1,0,0,1,0,raiders
星间漫步,20161001,0,209,0,1,0,0,1,0,raiders
你妹啊213,20161001,1,90,0,1,0,0,0,0,none
21487大仙,20161001,0,65,0,1,0,1,0,0,raiders
阿啦啦,20161001,0,39,0,1,0,1,0,0,raiders
阿啦啦,20161001,0,63,0,1,0,1,1,0,raiders
13611955607,20161001,1,52,0,1,0,0,1,0,communication
沿海岸奔跑丶,20161001,0,231,0,1,0,0,1,0,none
守望的小熊,20161001,0,44,0,1,0,1,1,0,raiders
dabbq9999,20161001,0,69,0,1,0,0,1,0,raiders
还差的远呢,20161001,0,34,0,1,0,1,1,0,raiders
献身的羔羊,20161001,0,48,0,1,0,0,1,0,communication
幸运,20161001,0,128,0,1,0,1,0,0,activity
s离别,20161001,0,90,0,1,0,1,1,0,raiders
金牙,20161001,0,216,0,1,0,0,0,0,none
金牙,20161001,0,79,0,1,0,0,1,0,none
神之右手one,20161001,1,9,0,1,0,0,1,0,activity
你妹啊213,20161001,0,41,0,1,0,0,1,0,none
sjdh,20161001,0,39,0,1,0,0,1,0,raiders
嘻嘻哈哈2,20161001,0,44,0,1,0,1,1,0,raiders
结局不过如此,20161001,0,119,0,1,0,1,1,0,raiders
玫瑰不红,20160930,1,18,0,1,0,0,1,1,advice
乱世丶枭雄,20160930,2,42,0,1,0,0,0,0,advice
魔x剑,20160929,1,156,0,1,1,0,0,0,none
小黑米哥哥,20160929,2,62,0,1,0,0,0,1,communication
木纹c,20160929,2,47,0,1,0,0,0,1,communication
Cecilkk,20160929,3,101,0,1,0,0,1,1,help
七把叉,20160929,1,40,0,1,0,0,0,0,help
滑板鞋丶,20160928,11,520,0,1,1,0,1,0,news
苍穹·王者,20160928,31,447,0,1,0,0,1,0,activity
魔x剑,20160928,4,136,0,1,1,0,1,0,none
叶良晨就是我,20160928,6,97,0,1,0,0,0,1,advice
乱世丶枭雄,20160928,3,33,0,1,0,0,1,1,communication
沉默的羔羊,20160928,0,6,0,1,0,0,0,0,communication
空白式丶刹,20160928,0,34,0,1,0,0,0,0,communication
造梦威廉,20160928,2,257,0,1,0,1,1,1,raiders
修罗医生,20160928,4,74,0,1,0,0,0,1,help
无限小霸王,20160928,2,58,0,1,0,0,0,0,help
暴脾气气不爆,20160928,1,89,0,1,0,0,1,1,help
无限小霸王,20160928,1,42,0,1,0,0,1,1,communication
滑板鞋丶,20160928,0,4706,0,1,1,1,0,1,announcement
卡卡灵,20160928,2,81,0,1,0,0,1,0,communication
木纹c,20160928,1,36,0,1,0,0,1,0,communication
阿拉希呀,20160927,0,16,0,1,0,0,0,0,communication
乐乐酱丶,20160926,4,414,0,1,1,1,0,1,communication
月光比水凉,20160926,5,138,0,1,1,0,0,0,none
巫里奥,20160925,7,460,0,1,1,0,0,1,raiders
" 
巫里奥",20160924,5,171,0,1,1,1,0,1,announcement
葱白,20160924,2,237,1,0,0,0,0,0,none
巫里奥,20160924,0,679,0,1,1,0,0,0,raiders
巫里奥,20160924,0,2,0,1,1,0,0,0,communication
妍鱼,20160923,1,754,0,1,1,1,0,1,communication
妍鱼,20160923,31,579,0,1,1,1,0,1,"
activity"
妍鱼,20160923,41,361,0,1,1,1,0,1,"
activity"
妍鱼,20160923,67,1677,0,1,1,1,0,1,activity
名门神话,20160923,5,476,0,1,1,0,0,1,news
月光比水凉,20160923,32,415,0,1,1,1,0,1,n
纳什花开,20160923,2,87,0,1,0,0,0,1,communication
巫里奥,20160923,6,420,0,1,1,1,0,0,raiders
落雁纷飞,20160922,6,142,0,1,0,0,1,0,announcement
巫里奥,20160922,5,100,0,1,1,0,0,1,communication
巫里奥,20160922,1,104,0,1,1,0,0,1,communication
巫里奥,20160921,1,79,0,1,1,0,0,0,communication
空白式丶刹,20160920,2,65,0,1,0,0,0,1,communication
巫里奥,20160920,0,126,0,1,1,0,0,1,communication
妍鱼,20160915,9,94,0,1,1,1,0,1,communication
巫里奥,20160914,3,212,0,1,1,0,0,1,communication
巫里奥,20160914,3,123,0,1,1,0,0,1,communication
巫里奥,20160907,6,285,0,1,1,0,0,1,communication
妍鱼,20160906,14,66,0,1,1,0,0,0,activity
空白式丶刹,20160904,1,65,0,1,0,0,1,0,activity
巫里奥,20160831,1,214,0,1,1,0,1,0,activity
拉利,20160830,3,235,0,1,1,1,1,1,announcement
空白式丶,20160830,3,175,0,1,0,0,0,1,none
德森,20160830,2,89,0,1,0,0,0,1,communication
漂流的疾风,20160829,2,193,0,1,1,1,0,1,activity
修罗医生,20160827,6,618,0,1,0,0,1,1,raiders
妍鱼,20160827,11,129,0,1,1,1,0,0,communication
迷茫小时代,20160823,0,286,0,1,0,0,0,0,activity
闲人萬萬,20160820,1,68,1,0,0,0,1,1,communication
zcdfdsfsdf,20160816,1,246,0,1,0,0,0,1,communication
AnnuuS狼猫,20160816,1,113,0,1,0,0,0,1,help
血染小强,20160815,9,442,0,1,1,1,0,1,announcement
AnnuuS狼猫,20160815,1,87,0,1,0,0,0,1,help
巫师张,20160815,0,74,0,1,0,0,1,0,help
喵窝,20160815,0,172,0,1,1,0,0,0,communication
l2659775432,20160814,1,71,0,1,0,0,0,1,video
sola,20160814,2,62,0,1,0,0,0,1,communication
[FFFF00]卡密,20160812,0,1228,0,1,1,0,0,0,news
九天降临,20160812,1,51,0,1,0,0,0,0,help
飘逸霸王,20160812,4,87,0,1,0,0,0,1,help
ail,20160812,2,111,0,1,0,0,1,1,help
德森,20160811,4,276,0,1,0,0,0,0,communication
妍鱼,20160809,3,1032,0,1,1,1,0,1,communication
妍鱼,20160809,6,187,0,1,1,1,0,1,communication
妍鱼,20160809,19,146,0,1,1,1,0,0,communication
妍鱼,20160809,7,265,0,1,1,1,0,0,communication
妍鱼,20160809,5,1041,0,1,1,1,0,0,communication
七把叉,20160731,2,282,0,1,0,0,0,1,communication
wzqharvey,20160728,1,92,0,1,0,0,1,1,help
ailsadfa,20160727,3,60,0,1,0,0,1,1,communication
东东东,20160726,0,152,0,1,0,0,0,0,help
七把叉,20160716,5,308,0,1,0,0,1,1,help
东东东,20160716,1,55,1,0,0,0,0,0,advice
滑板鞋丶,20160714,3,412,0,1,1,0,0,1,announcement
飘逸霸主,20160712,1,138,0,1,0,0,1,1,communication
居哲,20160709,7,130,0,1,0,0,1,0,help
迷茫小时代,20160708,0,888,0,1,0,0,0,0,news
妍鱼,20160708,7,318,0,1,1,0,0,0,activity
妍鱼,20160708,5,119,0,1,1,0,0,0,activity
课内毒物,20160708,3,254,0,1,0,0,1,0,activity
妍鱼,20160708,6,190,0,1,1,1,0,0,activity
妍鱼,20160708,1,158,0,1,1,1,0,0,activity
滑板鞋丶,20160707,6,1228,0,1,1,1,0,1,announcement
滑板鞋丶,20160704,12,2035,0,1,1,0,0,0,announcement
linxk2,20160617,2,395,0,1,0,0,0,1,raiders
linxk2,20160617,3,285,0,1,0,0,0,0,help
一世繁华飘零,20160617,1,152,0,1,0,0,1,0,help
linxk2,20160617,3,285,0,1,0,0,0,0,help
一世繁华飘零,20160617,1,152,0,1,0,0,1,0,help
妍鱼,20160616,13,1224,0,1,1,1,0,0,activity
妍鱼,20160616,3,884,0,1,1,0,0,0,activity
妍鱼,20160616,4,670,0,1,1,1,0,0,activity
linxk2,20160616,4,284,0,1,0,0,0,1,help
妍鱼,20160616,0,230,0,1,1,1,0,0,activity
妍鱼,20160616,4,670,0,1,1,1,0,0,activity
linxk2,20160616,4,284,0,1,0,0,0,1,help
妍鱼,20160616,0,230,0,1,1,1,0,0,activity
湖州晖哥,20160614,1,237,0,1,0,0,0,0,help
湖州晖哥,20160614,1,237,1,0,0,0,0,0,help
湖州晖哥,20160610,1,492,0,1,0,0,0,0,help
湖州晖哥,20160610,1,492,0,1,0,0,0,0,help
迷茫小时代,20160608,24,2479,0,1,0,0,0,1,none
寂寞冰霜,20160603,1,372,0,0,0,0,0,0,communication
寂寞冰霜,20160603,1,373,0,1,0,0,0,0,communication
寂寞冰霜,20160602,3,169,0,1,0,0,0,1,help
寂寞冰霜,20160602,3,169,0,1,0,0,0,1,help
湖州晖哥,20160531,1,212,0,1,0,0,1,1,communication
尐丿枫,20160530,2,231,0,1,0,0,0,1,communication
滑板鞋丶,20160526,3,1319,0,1,1,0,0,1,news
滑板鞋丶,20160525,4,1377,0,1,1,0,0,1,announcement
妍鱼,20160524,5,397,0,1,1,0,0,0,activity
妍鱼,20160524,1,198,0,1,1,1,0,0,activity
妍鱼,20160524,2,159,0,1,1,1,0,0,activity
妍鱼,20160524,1,212,0,1,1,1,0,0,activity
猫奴,20160419,10,751,0,1,1,0,0,1,raiders
滑板鞋丶,20160419,0,1384,0,1,1,0,0,0,announcement
猫奴,20160419,0,264,0,1,1,0,0,0,none
猫奴,20160419,0,159,0,1,1,0,0,0,none
猫奴,20160419,0,239,0,1,1,0,0,0,none
猫奴,20160419,0,162,0,1,1,0,0,0,none
猫奴,20160419,0,141,0,1,1,0,0,0,none
猫奴,20160419,0,203,0,1,1,0,0,0,none
猫奴,20160419,0,249,0,1,1,0,0,0,none
猫奴,20160419,0,157,0,1,1,0,0,0,none
猫奴,20160419,0,104,0,1,1,0,0,0,none
猫奴,20160418,2,924,0,1,1,0,0,0,communication
猫奴,20160418,0,497,0,1,1,0,0,0,none
猫奴,20160418,0,513,0,1,1,0,0,0,none
猫奴,20160418,0,472,0,1,1,0,0,0,none
猫奴,20160418,0,639,0,1,1,0,0,0,none
猫奴,20160418,0,524,0,1,1,0,0,0,none
猫奴,20160418,0,205,0,1,1,0,0,0,none
猫奴,20160418,0,282,0,1,1,0,0,0,none
猫奴,20160418,0,213,0,1,1,0,0,0,none
猫奴,20160418,0,271,0,1,1,0,0,0,none
猫奴,20160418,0,232,0,1,1,0,0,0,none
猫奴,20160418,0,230,0,1,1,0,0,0,none
猫奴,20160418,0,340,0,1,1,0,0,0,none
猫奴,20160418,0,221,0,1,1,0,0,0,none
猫奴,20160418,0,246,0,1,1,0,0,0,none
猫奴,20160418,0,216,0,1,1,0,0,0,none
猫奴,20160418,0,434,0,1,1,0,0,0,none
猫奴,20160418,0,367,0,1,1,0,0,0,none
猫奴,20160418,0,210,0,1,1,0,0,0,none
猫奴,20160418,0,139,0,1,1,0,0,0,none
猫奴,20160418,0,106,0,1,1,0,0,0,none
猫奴,20160418,0,147,0,1,1,0,0,0,none
猫奴,20160418,0,99,0,1,1,0,0,0,none
猫奴,20160418,0,87,0,1,1,0,0,0,none
猫奴,20160418,0,211,0,1,1,1,0,0,none
滑板鞋丶,20160325,19,752,0,1,1,1,0,1,communication
滑板鞋丶,20160325,0,77,0,1,1,1,0,0,raiders
羊兔子,20160322,10,2313,0,1,1,1,0,1,raiders
兔羊子,20160322,5,1746,0,1,1,0,0,0,raiders
兔羊子,20160322,1,1853,0,1,1,0,0,0,raiders
